sensor_id,machine_id,timestamp,temperature_c,vibration_mm_s,pressure_psi,rpm,power_kw
S000042,M001,2025-01-07 20:00:00,56.82,2.899,105.14,2202.4,20.01
S000043,M001,2025-01-08 00:00:00,60.63,2.648,103.28,2239.5,48.19
S000044,M001,2025-01-08 04:00:00,58.55,2.897,103.15,2267.2,19.91
S000045,M001,2025-01-08 08:00:00,59.88,2.425,106.69,2235.2,28.97
S000046,M001,2025-01-08 12:00:00,57.95,2.38,103.21,2208.8,27.35
S000047,M001,2025-01-08 16:00:00,60.43,2.281,104.92,2215.8,24.98
S000048,M001,2025-01-08 20:00:00,58.07,3.037,106.61,2239.2,16.52
S000049,M001,2025-01-09 00:00:00,58.28,2.447,105.94,2200.4,47.61
S000050,M001,2025-01-09 04:00:00,55.14,2.823,104.57,2275.3,31.82
S000051,M001,2025-01-09 08:00:00,57.75,2.685,106.37,2193.2,12.85
S000052,M001,2025-01-09 12:00:00,59.31,2.474,104.56,2201.3,37.87
S000053,M001,2025-01-09 16:00:00,59.33,2.628,107.43,2230.8,21.28
S000054,M001,2025-01-09 20:00:00,58.81,2.425,102.23,2175.3,41.06
S000055,M001,2025-01-10 00:00:00,58.8,2.527,105.37,2244.9,40.03
S000056,M001,2025-01-10 04:00:00,57.37,2.619,105.83,2239.8,43.06
S000057,M001,2025-01-10 08:00:00,59.01,2.505,106.45,2208.0,48.02
S000058,M001,2025-01-10 12:00:00,60.85,2.78,102.22,2198.5,23.15
S000059,M001,2025-01-10 16:00:00,59.72,2.725,107.05,2230.8,13.65
S000060,M001,2025-01-10 20:00:00,56.93,2.565,101.62,2265.0,45.51
S000061,M001,2025-01-11 00:00:00,56.74,2.503,106.63,2195.0,34.73
S000062,M001,2025-01-11 04:00:00,57.33,2.608,106.92,2238.1,13.25
S000063,M001,2025-01-11 08:00:00,55.81,2.286,104.37,2205.5,41.09
S000064,M001,2025-01-11 12:00:00,54.93,2.881,105.2,2211.8,28.75
S000065,M001,2025-01-11 16:00:00,58.47,2.402,106.84,2257.9,48.49
S000066,M001,2025-01-11 20:00:00,55.81,2.398,105.12,2225.7,48.53
S000067,M001,2025-01-12 00:00:00,58.32,2.57,106.0,2188.7,48.77
S000068,M001,2025-01-12 04:00:00,61.4,2.648,104.94,2267.7,35.1
S000069,M001,2025-01-12 08:00:00,59.29,2.604,110.18,2187.7,21.1
S000070,M001,2025-01-12 12:00:00,57.75,2.296,107.87,2157.6,13.11
S000071,M001,2025-01-12 16:00:00,58.5,2.942,107.7,2194.6,37.39
S000072,M001,2025-01-12 20:00:00,59.1,2.862,107.2,2208.0,44.64
S000073,M001,2025-01-13 00:00:00,59.75,2.473,102.38,2252.5,48.8
S000074,M001,2025-01-13 04:00:00,58.4,2.623,100.9,2184.9,20.94
S000075,M001,2025-01-13 08:00:00,57.99,2.576,104.9,2230.6,28.02
S000076,M001,2025-01-13 12:00:00,55.93,2.674,107.92,2258.2,24.33
S000077,M001,2025-01-13 16:00:00,58.48,2.417,108.91,2215.4,30.81
S000078,M001,2025-01-13 20:00:00,58.24,2.798,107.86,2216.9,26.14
S000079,M001,2025-01-14 00:00:00,58.95,2.841,103.87,2232.5,15.45
S000080,M001,2025-01-14 04:00:00,55.39,2.856,107.58,2207.8,23.93
S000081,M001,2025-01-14 08:00:00,60.24,2.582,109.06,2170.5,44.49
S000082,M001,2025-01-14 12:00:00,57.96,2.726,105.24,2162.0,49.2
S000083,M001,2025-01-14 16:00:00,54.88,2.549,103.19,2232.0,13.03
S000084,M001,2025-01-14 20:00:00,56.33,2.665,107.3,2203.2,28.96
S000085,M001,2025-01-15 00:00:00,56.5,2.668,104.74,2188.1,17.08
S000086,M001,2025-01-15 04:00:00,55.83,2.529,105.92,2143.4,37.62
S000087,M001,2025-01-15 08:00:00,56.93,2.61,105.58,2205.3,42.25
S000088,M001,2025-01-15 12:00:00,56.88,2.683,104.71,2175.1,29.38
S000089,M001,2025-01-15 16:00:00,55.71,2.84,109.09,2204.4,11.47
S000090,M001,2025-01-15 20:00:00,59.26,2.369,105.86,2241.0,31.28
S000091,M001,2025-01-16 00:00:00,57.79,2.376,102.59,2218.0,20.77
S000092,M001,2025-01-16 04:00:00,57.7,2.557,103.68,2192.3,23.1
S000093,M001,2025-01-16 08:00:00,60.51,2.743,105.79,2256.3,13.48
S000094,M001,2025-01-16 12:00:00,61.54,2.77,104.92,2259.4,15.1
S000095,M001,2025-01-16 16:00:00,56.67,2.29,107.66,2269.2,24.24
S000096,M001,2025-01-16 20:00:00,58.02,2.592,105.08,2204.8,16.11
S000097,M001,2025-01-17 00:00:00,57.01,2.47,104.62,2186.0,16.93
S000098,M001,2025-01-17 04:00:00,54.23,2.704,106.58,2209.4,44.62
S000099,M001,2025-01-17 08:00:00,57.12,2.718,106.81,2182.6,47.18
S000100,M001,2025-01-17 12:00:00,61.05,2.891,107.67,2189.1,17.48
S000101,M001,2025-01-17 16:00:00,56.84,2.206,102.55,2213.4,14.59
S000102,M001,2025-01-17 20:00:00,55.7,2.727,103.53,2220.0,29.25
S000103,M001,2025-01-18 00:00:00,57.0,2.576,104.08,2200.4,12.53
S000104,M001,2025-01-18 04:00:00,57.08,2.719,108.02,2235.1,33.83
S000105,M001,2025-01-18 08:00:00,54.28,2.408,106.96,2205.8,43.22
S000106,M001,2025-01-18 12:00:00,58.24,2.585,106.78,2259.3,43.67
S000107,M001,2025-01-18 16:00:00,58.49,2.485,104.83,2198.9,16.57
S000108,M001,2025-01-18 20:00:00,58.8,2.774,101.39,2222.7,45.09
S000109,M001,2025-01-19 00:00:00,59.78,2.485,101.73,2181.7,28.51
S000110,M001,2025-01-19 04:00:00,59.56,2.398,102.64,2212.4,45.98
S000111,M001,2025-01-19 08:00:00,59.23,2.125,106.27,2235.0,14.68
S000112,M001,2025-01-19 12:00:00,58.23,2.681,104.05,2199.9,41.76
S000113,M001,2025-01-19 16:00:00,58.93,3.021,106.17,2219.4,16.07
S000114,M001,2025-01-19 20:00:00,56.35,2.404,108.82,2224.0,45.07
S000115,M001,2025-01-20 00:00:00,59.54,2.465,105.26,2182.6,41.89
S000116,M001,2025-01-20 04:00:00,57.34,2.456,107.73,2241.1,35.65
S000117,M001,2025-01-20 08:00:00,58.6,2.942,104.26,2174.6,17.26
S000118,M001,2025-01-20 12:00:00,58.24,2.734,104.02,2142.2,47.89
S000119,M001,2025-01-20 16:00:00,58.4,2.342,110.7,2215.8,10.72
S000120,M001,2025-01-20 20:00:00,60.66,2.685,106.24,2225.2,16.1
S000121,M001,2025-01-21 00:00:00,60.81,2.836,108.99,2196.6,47.37
S000122,M001,2025-01-21 04:00:00,57.85,2.723,110.88,2227.6,25.96
S000123,M001,2025-01-21 08:00:00,57.75,2.482,103.78,2162.3,31.5
S000124,M001,2025-01-21 12:00:00,57.64,2.693,108.34,2187.4,28.09
S000125,M001,2025-01-21 16:00:00,57.59,2.266,105.31,2203.7,29.93
S000126,M001,2025-01-21 20:00:00,59.19,2.536,107.96,2156.6,35.29
S000127,M001,2025-01-22 00:00:00,57.58,2.346,110.95,2213.7,12.68
S000128,M001,2025-01-22 04:00:00,56.81,2.702,105.57,2216.6,17.63
S000129,M001,2025-01-22 08:00:00,57.93,2.458,104.38,2215.1,41.02
S000130,M001,2025-01-22 12:00:00,60.07,2.035,101.65,2174.7,32.39
S000131,M001,2025-01-22 16:00:00,57.47,2.493,102.99,2188.6,35.76
S000132,M001,2025-01-22 20:00:00,57.44,2.553,106.77,2188.7,36.36
S000133,M001,2025-01-23 00:00:00,59.07,2.341,104.75,2226.6,36.11
S000134,M001,2025-01-23 04:00:00,57.46,2.521,107.43,2183.7,44.23
S000135,M001,2025-01-23 08:00:00,57.44,2.799,103.64,2230.4,21.73
S000136,M001,2025-01-23 12:00:00,55.48,2.92,103.32,2187.4,25.19
S000137,M001,2025-01-23 16:00:00,55.65,2.688,103.24,2264.6,32.08
S000138,M001,2025-01-23 20:00:00,55.35,2.458,107.75,2211.0,41.99
S000139,M001,2025-01-24 00:00:00,57.44,2.556,106.42,2160.6,35.34
S000140,M001,2025-01-24 04:00:00,57.05,2.483,103.23,2214.9,20.89
S000141,M001,2025-01-24 08:00:00,58.28,2.371,106.62,2160.8,36.06
S000142,M001,2025-01-24 12:00:00,57.28,2.672,109.04,2259.0,36.6
S000143,M001,2025-01-24 16:00:00,55.22,2.311,104.55,2212.7,16.65
S000144,M001,2025-01-24 20:00:00,57.46,2.607,102.93,2229.4,25.57
S000145,M001,2025-01-25 00:00:00,56.6,2.297,103.85,2243.5,32.66
S000146,M001,2025-01-25 04:00:00,61.1,2.506,105.99,2217.3,18.6
S000147,M001,2025-01-25 08:00:00,57.12,2.591,110.92,2209.0,23.37
S000148,M001,2025-01-25 12:00:00,57.45,2.616,106.16,2201.9,29.82
S000149,M001,2025-01-25 16:00:00,57.04,2.93,107.22,2195.0,41.98
S000150,M001,2025-01-25 20:00:00,56.35,2.753,102.28,2246.2,13.66
S000151,M001,2025-01-26 00:00:00,57.87,2.691,106.16,2171.9,44.92
S000152,M001,2025-01-26 04:00:00,59.21,2.691,108.38,2243.8,43.97
S000153,M001,2025-01-26 08:00:00,57.88,2.235,106.66,2218.2,17.22
S000154,M001,2025-01-26 12:00:00,59.21,2.594,106.7,2205.5,48.84
S000155,M001,2025-01-26 16:00:00,57.92,2.703,105.86,2212.8,22.76
S000156,M001,2025-01-26 20:00:00,55.87,2.667,103.72,2250.3,38.99
S000157,M001,2025-01-27 00:00:00,57.7,2.479,108.7,2217.8,22.75
S000158,M001,2025-01-27 04:00:00,59.28,2.624,103.1,2229.5,10.98
S000159,M001,2025-01-27 08:00:00,58.11,2.78,104.77,2254.2,29.2
S000160,M001,2025-01-27 12:00:00,59.36,2.63,102.44,2159.2,39.5
S000161,M001,2025-01-27 16:00:00,57.35,2.511,103.11,2184.4,21.85
S000162,M001,2025-01-27 20:00:00,55.08,2.326,103.66,2232.4,48.0
S000163,M001,2025-01-28 00:00:00,59.46,2.524,105.7,2232.2,34.54
S000164,M001,2025-01-28 04:00:00,59.73,2.891,102.66,2214.1,17.06
S000165,M001,2025-01-28 08:00:00,57.05,2.456,104.53,2247.6,12.31
S000166,M001,2025-01-28 12:00:00,57.42,2.332,107.4,2243.4,16.16
S000167,M001,2025-01-28 16:00:00,57.15,2.694,106.21,2166.4,33.72
S000168,M001,2025-01-28 20:00:00,56.72,2.6,105.08,2229.4,15.18
S000169,M001,2025-01-29 00:00:00,58.41,2.634,107.12,2272.2,13.48
S000170,M001,2025-01-29 04:00:00,55.36,2.316,107.57,2183.4,29.84
S000171,M001,2025-01-29 08:00:00,57.21,2.612,105.77,2247.6,29.22
S000172,M001,2025-01-29 12:00:00,59.79,2.636,108.45,2178.0,32.63
S000173,M001,2025-01-29 16:00:00,58.86,2.495,106.98,2245.2,44.02
S000174,M001,2025-01-29 20:00:00,58.59,2.71,106.81,2237.6,37.21
S000175,M001,2025-01-30 00:00:00,60.06,2.697,105.47,2216.3,23.4
S000176,M001,2025-01-30 04:00:00,56.95,2.666,106.64,2223.9,30.3
S000177,M001,2025-01-30 08:00:00,58.27,2.576,103.08,2234.3,35.36
S000178,M001,2025-01-30 12:00:00,60.23,2.61,106.34,2199.9,31.65
S000179,M001,2025-01-30 16:00:00,57.84,2.623,107.02,2217.5,14.1
S000180,M001,2025-01-30 20:00:00,58.25,2.649,105.43,2199.8,38.33
S000181,M001,2025-01-31 00:00:00,58.18,2.427,108.19,2166.2,11.83
S000182,M001,2025-01-31 04:00:00,58.53,2.462,105.54,2150.9,40.82
S000183,M001,2025-01-31 08:00:00,57.15,2.943,102.91,2146.0,16.54
S000184,M001,2025-01-31 12:00:00,58.96,2.764,108.05,2251.2,20.93
S000185,M001,2025-01-31 16:00:00,58.96,2.547,109.5,2179.8,25.9
S000186,M001,2025-01-31 20:00:00,59.33,2.526,104.38,2191.8,11.25
S000187,M001,2025-02-01 00:00:00,56.11,2.856,105.64,2245.4,48.73
S000188,M001,2025-02-01 04:00:00,58.39,2.521,107.22,2233.6,43.79
S000189,M001,2025-02-01 08:00:00,58.95,2.833,106.2,2233.2,41.86
S000190,M001,2025-02-01 12:00:00,56.44,2.557,106.55,2189.2,27.21
S000191,M001,2025-02-01 16:00:00,57.92,2.281,106.06,2191.5,20.76
S000192,M001,2025-02-01 20:00:00,57.03,2.766,105.25,2211.2,12.9
S000193,M001,2025-02-02 00:00:00,57.3,2.082,102.64,2234.7,37.8
S000194,M001,2025-02-02 04:00:00,58.54,2.663,105.76,2194.8,14.2
S000195,M001,2025-02-02 08:00:00,57.98,2.335,108.81,2238.2,32.39
S000196,M001,2025-02-02 12:00:00,56.67,2.575,105.27,2209.3,13.14
S000197,M001,2025-02-02 16:00:00,56.48,2.511,109.4,2231.1,42.02
S000198,M001,2025-02-02 20:00:00,57.24,2.478,106.35,2188.0,38.26
S000199,M001,2025-02-03 00:00:00,58.07,2.438,107.2,2223.7,38.56
S000200,M001,2025-02-03 04:00:00,57.11,2.785,106.03,2240.4,42.69
S000201,M001,2025-02-03 08:00:00,61.1,2.429,109.28,2217.9,13.27
S000202,M001,2025-02-03 12:00:00,56.44,2.461,107.04,2245.8,29.93
S000203,M001,2025-02-03 16:00:00,60.57,2.654,105.88,2215.5,17.98
S000204,M001,2025-02-03 20:00:00,57.23,2.609,107.99,2208.6,39.09
S000205,M001,2025-02-04 00:00:00,57.26,2.882,103.35,2168.0,49.51
S000206,M001,2025-02-04 04:00:00,55.64,2.967,105.59,2265.3,44.94
S000207,M001,2025-02-04 08:00:00,57.72,2.744,107.11,2164.6,46.49
S000208,M001,2025-02-04 12:00:00,58.78,2.316,108.56,2235.2,15.26
S000209,M001,2025-02-04 16:00:00,58.72,2.619,104.7,2191.8,48.86
S000210,M001,2025-02-04 20:00:00,58.47,2.509,102.5,2210.4,44.83
S000211,M001,2025-02-05 00:00:00,59.14,1.997,108.1,2159.7,16.54
S000212,M001,2025-02-05 04:00:00,58.54,2.55,107.42,2174.5,23.01
S000213,M001,2025-02-05 08:00:00,57.28,2.636,105.71,2226.2,19.44
S000214,M001,2025-02-05 12:00:00,54.84,2.618,105.29,2248.9,19.95
S000215,M001,2025-02-05 16:00:00,60.23,2.737,105.11,2201.4,11.47
S000216,M001,2025-02-05 20:00:00,59.25,2.812,108.23,2209.2,42.23
S000217,M001,2025-02-06 00:00:00,59.53,2.615,105.29,2206.0,20.79
S000218,M001,2025-02-06 04:00:00,58.06,2.43,105.54,2180.9,47.36
S000219,M001,2025-02-06 08:00:00,58.1,2.167,107.64,2222.3,28.19
S000220,M001,2025-02-06 12:00:00,54.83,3.155,104.06,2224.0,11.2
S000221,M001,2025-02-06 16:00:00,59.64,2.359,107.03,2180.3,48.8
S000222,M001,2025-02-06 20:00:00,58.4,2.437,107.95,2207.0,17.09
S000223,M001,2025-02-07 00:00:00,59.29,2.666,106.1,2222.9,29.89
S000224,M001,2025-02-07 04:00:00,59.43,2.629,104.91,2213.9,47.24
S000225,M001,2025-02-07 08:00:00,59.64,2.804,107.08,2177.6,25.75
S000226,M001,2025-02-07 12:00:00,56.83,2.626,107.81,2204.3,41.3
S000227,M001,2025-02-07 16:00:00,60.4,2.658,105.32,2240.8,23.08
S000228,M001,2025-02-07 20:00:00,59.55,2.681,107.25,2231.0,27.42
S000229,M001,2025-02-08 00:00:00,57.76,2.592,105.46,2212.4,22.98
S000230,M001,2025-02-08 04:00:00,56.07,2.238,104.03,2258.5,27.95
S000231,M001,2025-02-08 08:00:00,57.02,2.302,109.09,2242.2,34.78
S000232,M001,2025-02-08 12:00:00,54.61,2.43,105.92,2245.7,29.17
S000233,M001,2025-02-08 16:00:00,55.9,2.238,107.85,2285.1,34.32
S000234,M001,2025-02-08 20:00:00,59.0,2.682,105.3,2223.7,47.08
S000235,M001,2025-02-09 00:00:00,56.85,2.511,102.42,2209.0,21.39
S000236,M001,2025-02-09 04:00:00,59.44,2.444,101.98,2223.8,34.41
S000237,M001,2025-02-09 08:00:00,56.5,2.755,103.84,2205.2,17.25
S000238,M001,2025-02-09 12:00:00,56.53,2.677,109.5,2218.6,14.28
S000239,M001,2025-02-09 16:00:00,55.59,2.655,105.76,2228.5,42.24
S000240,M001,2025-02-09 20:00:00,57.11,2.58,106.75,2216.1,34.06
S000241,M001,2025-02-10 00:00:00,58.06,2.575,104.4,2192.0,34.44
S000242,M001,2025-02-10 04:00:00,59.71,2.507,105.25,2234.5,19.47
S000243,M001,2025-02-10 08:00:00,56.91,2.746,105.21,2249.4,36.7
S000244,M001,2025-02-10 12:00:00,58.34,2.411,110.25,2174.8,16.72
S000245,M001,2025-02-10 16:00:00,58.93,2.65,105.43,2208.0,10.95
S000246,M001,2025-02-10 20:00:00,59.82,2.892,102.73,2220.0,25.64
S000247,M001,2025-02-11 00:00:00,57.85,3.083,104.2,2261.1,27.13
S000248,M001,2025-02-11 04:00:00,59.45,2.788,106.41,2195.9,33.14
S000249,M001,2025-02-11 08:00:00,57.41,2.526,104.64,2181.5,19.07
S000250,M001,2025-02-11 12:00:00,57.1,2.528,104.29,2212.9,42.01
S000251,M001,2025-02-11 16:00:00,58.33,2.256,106.47,2236.9,31.32
S000252,M001,2025-02-11 20:00:00,56.22,2.32,107.19,2270.3,39.23
S000253,M001,2025-02-12 00:00:00,56.93,2.556,106.92,2214.2,17.01
S000254,M001,2025-02-12 04:00:00,56.5,2.693,103.97,2214.4,28.01
S000255,M001,2025-02-12 08:00:00,56.88,2.814,107.99,2230.2,47.09
S000256,M001,2025-02-12 12:00:00,57.18,2.286,105.95,2235.3,43.68
S000257,M001,2025-02-12 16:00:00,61.46,2.646,106.19,2202.6,15.11
S000258,M001,2025-02-12 20:00:00,58.74,2.683,103.66,2185.2,24.41
S000259,M001,2025-02-13 00:00:00,55.23,2.669,103.6,2147.3,34.02
S000260,M001,2025-02-13 04:00:00,59.24,2.573,106.31,2211.9,44.06
S000261,M001,2025-02-13 08:00:00,58.11,2.547,107.64,2203.2,44.72
S000262,M001,2025-02-13 12:00:00,58.84,2.687,104.79,2204.8,26.12
S000263,M001,2025-02-13 16:00:00,58.79,2.387,105.86,2211.6,35.64
S000264,M001,2025-02-13 20:00:00,57.64,2.607,110.73,2202.9,40.59
S000265,M001,2025-02-14 00:00:00,58.0,2.305,103.67,2202.8,24.7
S000266,M001,2025-02-14 04:00:00,58.74,2.578,102.2,2192.5,30.25
S000267,M001,2025-02-14 08:00:00,56.57,2.538,103.38,2229.9,34.78
S000268,M001,2025-02-14 12:00:00,56.53,2.65,104.43,2210.0,49.79
S000269,M001,2025-02-14 16:00:00,58.21,2.5,104.58,2202.8,37.69
S000270,M001,2025-02-14 20:00:00,58.01,2.421,102.73,2239.3,34.96
S000271,M001,2025-02-15 00:00:00,54.15,2.754,103.07,2205.2,24.71
S000272,M001,2025-02-15 04:00:00,59.79,2.504,107.56,2234.8,10.44
S000273,M001,2025-02-15 08:00:00,57.12,2.049,104.71,2223.7,31.41
S000274,M001,2025-02-15 12:00:00,56.49,2.561,101.88,2273.7,43.77
S000275,M001,2025-02-15 16:00:00,57.94,2.38,104.92,2185.4,39.49
S000276,M001,2025-02-15 20:00:00,54.53,2.478,104.05,2143.6,41.4
S000277,M001,2025-02-16 00:00:00,56.98,2.775,104.59,2266.7,20.19
S000278,M001,2025-02-16 04:00:00,57.85,2.751,108.62,2248.4,45.8
S000279,M001,2025-02-16 08:00:00,59.94,2.879,105.87,2189.3,16.01
S000280,M001,2025-02-16 12:00:00,58.12,2.911,105.35,2214.6,13.39
S000281,M001,2025-02-16 16:00:00,57.43,2.604,103.11,2182.8,23.99
S000282,M001,2025-02-16 20:00:00,59.0,2.799,104.9,2198.8,13.94
S000283,M001,2025-02-17 00:00:00,59.76,2.711,107.8,2189.2,34.99
S000284,M001,2025-02-17 04:00:00,56.1,2.467,106.37,2184.2,40.99
S000285,M001,2025-02-17 08:00:00,58.67,3.0,104.52,2239.8,49.2
S000286,M001,2025-02-17 12:00:00,60.17,2.927,107.3,2229.7,36.26
S000287,M001,2025-02-17 16:00:00,57.44,2.399,103.71,2152.9,27.58
S000288,M001,2025-02-17 20:00:00,58.85,2.597,104.84,2202.0,17.9
S000289,M001,2025-02-18 00:00:00,58.44,2.73,107.52,2194.4,44.45
S000290,M001,2025-02-18 04:00:00,59.24,2.404,108.23,2207.7,39.14
S000291,M001,2025-02-18 08:00:00,58.98,2.802,106.17,2173.0,49.39
S000292,M001,2025-02-18 12:00:00,57.84,2.55,107.43,2229.3,18.54
S000293,M001,2025-02-18 16:00:00,59.84,2.571,106.42,2263.0,33.61
S000294,M001,2025-02-18 20:00:00,55.13,2.583,109.43,2230.6,44.93
S000295,M001,2025-02-19 00:00:00,59.92,2.702,105.53,2175.2,10.37
S000296,M001,2025-02-19 04:00:00,59.23,2.382,108.38,2199.2,18.16
S000297,M001,2025-02-19 08:00:00,60.49,2.646,103.41,2225.3,24.22
S000298,M001,2025-02-19 12:00:00,58.4,2.858,102.9,2178.7,15.96
S000299,M001,2025-02-19 16:00:00,59.07,2.492,109.26,2199.9,45.45
S000300,M001,2025-02-19 20:00:00,55.43,2.858,109.17,2189.4,10.13
S000301,M001,2025-02-20 00:00:00,55.69,2.82,104.7,2288.7,35.69
S000302,M001,2025-02-20 04:00:00,58.17,2.429,109.53,2268.5,34.14
S000303,M001,2025-02-20 08:00:00,59.52,2.686,107.36,2195.4,29.93
S000304,M001,2025-02-20 12:00:00,59.66,2.437,107.7,2232.4,30.69
S000305,M001,2025-02-20 16:00:00,56.27,2.528,104.37,2155.9,13.54
S000306,M001,2025-02-20 20:00:00,58.7,2.294,106.18,2229.2,26.85
S000307,M001,2025-02-21 00:00:00,59.81,2.683,105.35,2183.1,43.59
S000308,M001,2025-02-21 04:00:00,59.78,2.18,103.3,2222.4,24.49
S000309,M001,2025-02-21 08:00:00,58.19,2.213,106.45,2207.5,20.37
S000310,M001,2025-02-21 12:00:00,59.53,2.528,105.07,2224.0,42.11
S000311,M001,2025-02-21 16:00:00,56.23,1.993,105.75,2265.1,27.47
S000312,M001,2025-02-21 20:00:00,59.33,2.723,106.51,2179.0,15.41
S000313,M001,2025-02-22 00:00:00,59.13,2.812,105.6,2205.8,20.47
S000314,M001,2025-02-22 04:00:00,58.52,2.523,104.12,2184.2,40.38
S000315,M001,2025-02-22 08:00:00,60.22,2.513,105.76,2189.5,11.34
S000316,M001,2025-02-22 12:00:00,58.14,2.341,102.28,2181.1,45.99
S000317,M001,2025-02-22 16:00:00,58.08,2.67,102.68,2196.0,39.23
S000318,M001,2025-02-22 20:00:00,56.32,2.68,103.14,2284.4,48.88
S000319,M001,2025-02-23 00:00:00,55.56,2.8,104.33,2187.6,44.02
S000320,M001,2025-02-23 04:00:00,59.51,3.1,105.21,2216.5,38.31
S000321,M001,2025-02-23 08:00:00,56.74,2.584,103.66,2124.3,16.63
S000322,M001,2025-02-23 12:00:00,57.31,2.969,109.34,2180.9,31.82
S000323,M001,2025-02-23 16:00:00,58.01,2.421,105.44,2253.2,12.08
S000324,M001,2025-02-23 20:00:00,57.04,2.688,104.39,2196.6,23.21
S000325,M001,2025-02-24 00:00:00,58.17,2.892,106.45,2204.3,45.18
S000326,M001,2025-02-24 04:00:00,57.44,2.669,106.44,2211.0,40.88
S000327,M001,2025-02-24 08:00:00,59.31,2.551,105.44,2307.7,14.22
S000328,M001,2025-02-24 12:00:00,59.54,2.668,108.42,2194.9,48.58
S000329,M001,2025-02-24 16:00:00,58.15,2.279,107.64,2191.9,33.1
S000330,M001,2025-02-24 20:00:00,59.76,2.674,107.33,2206.2,31.32
S000331,M001,2025-02-25 00:00:00,58.71,2.398,104.52,2242.8,44.29
S000332,M001,2025-02-25 04:00:00,57.58,2.664,104.71,2196.4,45.76
S000333,M001,2025-02-25 08:00:00,56.55,2.652,109.93,2179.9,13.34
S000334,M001,2025-02-25 12:00:00,58.27,2.615,106.85,2212.1,26.71
S000335,M001,2025-02-25 16:00:00,56.39,2.653,105.43,2241.5,16.49
S000336,M001,2025-02-25 20:00:00,58.03,2.514,109.39,2218.6,45.61
S000337,M001,2025-02-26 00:00:00,58.27,2.496,106.48,2203.1,42.76
S000338,M001,2025-02-26 04:00:00,60.69,2.637,105.2,2153.3,42.87
S000339,M001,2025-02-26 08:00:00,54.8,2.445,108.4,2211.2,23.41
